seed,q,M,known_acceptance_rate,known_no_ecc_rate,known_proxy_rejection_rate,closed_macro_f1,known_type_macro_f1,known_type_macro_f1_change_from_closed,no_ecc_specificity,HEDGES_unknown_recall,DNA_Aeon_unknown_recall,combined_unknown_recall,unknown_direct_known_rate,unknown_misclassified_as_BCH_rate,AUROC,AUPR,FPR_at_95_TPR
43,50,1,0.49,0.23,0.28,0.48367620751341683,0.3624819408717714,-0.12119426664164545,0.91,0.94,0.76,0.85,0.07,0.01,0.8126,0.5917188115318026,0.48
43,50,5,0.895,0.005,0.1,0.7800069327288629,0.7282738095238096,-0.0517331232050533,1.0,0.96,0.82,0.89,0.11,0.04,0.96645,0.9329934242325626,0.13
43,50,10,0.93,0.0,0.07,0.8363098631598654,0.8030472346738163,-0.033262628486049106,1.0,1.0,0.88,0.94,0.06,0.05,0.9806,0.9652957621178889,0.07
43,50,20,0.98,0.0,0.02,0.8335943157329806,0.826841068821895,-0.006753246911085586,1.0,0.98,0.74,0.86,0.14,0.11,0.9869,0.9774507034615695,0.08
43,50,50,1.0,0.0,0.0,0.8351648351648352,0.8351648351648352,0.0,1.0,1.0,0.92,0.96,0.04,0.04,0.9987,0.9976740824534942,0.0
44,50,1,0.515,0.22,0.265,0.5153996101364522,0.4141882516188714,-0.10121135851758079,0.9,1.0,0.7,0.85,0.02,0.0,0.8295,0.6383677066126379,0.415
44,50,5,0.895,0.005,0.1,0.527350987761545,0.4929443461769908,-0.0344066415845542,0.99,1.0,0.86,0.93,0.07,0.05,0.95935,0.8797264806579131,0.125
44,50,10,0.945,0.0,0.055,0.5539035012719222,0.5176403613502457,-0.03626313992167651,1.0,1.0,0.88,0.94,0.06,0.05,0.98445,0.9693455901397924,0.06
44,50,20,0.97,0.0,0.03,0.5400556875594023,0.5148945352154584,-0.025161152343943893,1.0,1.0,0.88,0.94,0.06,0.05,0.9969,0.9940715467829258,0.035
44,50,50,1.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.0,1.0,1.0,0.88,0.94,0.06,0.06,0.99805,0.9965158421346721,0.0
45,50,1,0.42,0.24,0.34,0.41888110697584124,0.3194052203679931,-0.09947588660784812,0.91,0.98,0.74,0.86,0.07,0.02,0.8022,0.6009264387881676,0.52
45,50,5,0.88,0.005,0.115,0.6443719962901548,0.5982788183243188,-0.04609317796583601,1.0,1.0,0.88,0.94,0.06,0.03,0.9689,0.9336155991588667,0.115
45,50,10,0.955,0.0,0.045,0.6815923094992862,0.6523294628688134,-0.02926284663047274,1.0,1.0,0.82,0.91,0.09,0.03,0.97435,0.9609626631784327,0.265
45,50,20,0.97,0.0,0.03,0.635689282469373,0.6141966905542459,-0.02149259191512709,1.0,1.0,0.8,0.9,0.1,0.09,0.98725,0.9799069905507054,0.095
45,50,50,1.0,0.0,0.0,0.6148053914421051,0.6148053914421051,0.0,1.0,1.0,0.88,0.94,0.06,0.06,0.99735,0.9955290536649188,0.0
