seed,error_rate,mode,known_acceptance_rate,known_no_ecc_rate,known_proxy_rejection_rate,closed_macro_f1,known_type_macro_f1,known_type_macro_f1_change_from_closed,no_ecc_specificity,HEDGES_unknown_recall,DNA_Aeon_unknown_recall,combined_unknown_recall,unknown_direct_known_rate,unknown_misclassified_as_BCH_rate,AUROC,AUPR,FPR_at_95_TPR
43,0.0,fixed,0.965,0.0,0.035,0.8416857735560651,0.8106971153846154,-0.03098865817144969,1.0,0.92,0.9,0.91,0.09,0.07,0.987,0.9781569239833218,0.06
43,0.0,recalibrated,0.99,0.0,0.01,0.8416857735560651,0.831479609032693,-0.010206164523372085,1.0,0.8,0.84,0.82,0.18,0.15,0.987,0.9781569239833218,0.06
43,0.01,fixed,0.97,0.0,0.03,0.8285208540767784,0.8016826923076923,-0.026838161769086155,1.0,0.98,0.86,0.92,0.08,0.07,0.98965,0.9832570745278347,0.05
43,0.01,recalibrated,0.99,0.0,0.01,0.8285208540767784,0.8246606334841629,-0.003860220592615593,1.0,0.92,0.82,0.87,0.13,0.11,0.98965,0.9832570745278347,0.05
43,0.05,fixed,0.98,0.0,0.02,0.8335943157329806,0.826841068821895,-0.006753246911085586,1.0,0.98,0.74,0.86,0.14,0.11,0.9869,0.9774507034615695,0.08
43,0.05,recalibrated,0.995,0.0,0.005,0.8335943157329806,0.8287427175594648,-0.00485159817351577,1.0,0.98,0.7,0.84,0.16,0.13,0.9869,0.9774507034615695,0.08
43,0.1,fixed,0.875,0.12,0.005,0.8679948836982359,0.803270219886351,-0.06472466381188491,1.0,1.0,0.68,0.84,0.1,0.09,0.98945,0.9830763681068119,0.055
43,0.1,recalibrated,0.88,0.12,0.0,0.8679948836982359,0.8090246955896757,-0.05897018810856014,1.0,1.0,0.6,0.8,0.14,0.13,0.98945,0.9830763681068119,0.055
43,0.15,fixed,0.555,0.445,0.0,0.7378945859905212,0.47789458599052115,-0.26,1.0,0.98,0.0,0.49,0.0,0.0,0.9885,0.9815134817845089,0.065
43,0.15,recalibrated,0.555,0.445,0.0,0.7378945859905212,0.47789458599052115,-0.26,1.0,0.98,0.0,0.49,0.0,0.0,0.9885,0.9815134817845089,0.065
43,0.2,fixed,0.48,0.52,0.0,0.5761837980531266,0.3106060606060606,-0.265577737447066,1.0,0.0,0.0,0.0,0.0,0.0,0.9848,0.97682680186515,0.08
43,0.2,recalibrated,0.48,0.52,0.0,0.5761837980531266,0.3106060606060606,-0.265577737447066,1.0,0.0,0.0,0.0,0.0,0.0,0.9848,0.97682680186515,0.08
44,0.0,fixed,0.975,0.0,0.025,0.7788227158112035,0.7505470009157704,-0.028275714895433124,1.0,0.94,0.86,0.9,0.1,0.1,0.98705,0.9740583761113867,0.045
44,0.0,recalibrated,0.975,0.0,0.025,0.7788227158112035,0.7505470009157704,-0.028275714895433124,1.0,0.96,0.86,0.91,0.09,0.09,0.98705,0.9740583761113867,0.045
44,0.01,fixed,0.975,0.0,0.025,0.6990544236936427,0.6721058333122165,-0.026948590381426163,1.0,0.96,0.84,0.9,0.1,0.1,0.9888,0.9798675292004593,0.03
44,0.01,recalibrated,0.97,0.0,0.03,0.6990544236936427,0.6735822112649723,-0.02547221242867037,1.0,0.98,0.86,0.92,0.08,0.08,0.9888,0.9798675292004593,0.03
44,0.05,fixed,0.97,0.0,0.03,0.5400556875594023,0.5148945352154584,-0.025161152343943893,1.0,1.0,0.88,0.94,0.06,0.05,0.9969,0.9940715467829258,0.035
44,0.05,recalibrated,0.965,0.0,0.035,0.5400556875594023,0.5090670293879526,-0.03098865817144969,1.0,1.0,0.88,0.94,0.06,0.05,0.9969,0.9940715467829258,0.035
44,0.1,fixed,0.9,0.085,0.015,0.5229885057471264,0.45868347338935567,-0.06430503235777074,1.0,1.0,0.52,0.76,0.09,0.09,0.99085,0.9844912536494265,0.035
