seed,error_rate,category,acceptance
43,0.0,BCH,0.86
43,0.0,Convolutional,1.0
43,0.0,LDPC,1.0
43,0.0,Polar,1.0
43,0.01,BCH,0.88
43,0.01,Convolutional,1.0
43,0.01,LDPC,1.0
43,0.01,Polar,1.0
43,0.05,BCH,0.92
43,0.05,Convolutional,1.0
43,0.05,LDPC,1.0
43,0.05,Polar,1.0
43,0.1,BCH,0.5
43,0.1,Convolutional,1.0
43,0.1,LDPC,1.0
43,0.1,Polar,1.0
43,0.15,BCH,0.0
43,0.15,Convolutional,0.22
43,0.15,LDPC,1.0
43,0.15,Polar,1.0
43,0.2,BCH,0.0
43,0.2,Convolutional,0.0
43,0.2,LDPC,1.0
43,0.2,Polar,0.92
44,0.0,BCH,0.9
44,0.0,Convolutional,1.0
44,0.0,LDPC,1.0
44,0.0,Polar,1.0
44,0.01,BCH,0.9
44,0.01,Convolutional,1.0
44,0.01,LDPC,1.0
44,0.01,Polar,1.0
44,0.05,BCH,0.88
44,0.05,Convolutional,1.0
44,0.05,LDPC,1.0
44,0.05,Polar,1.0
44,0.1,BCH,0.62
44,0.1,Convolutional,0.98
44,0.1,LDPC,1.0
44,0.1,Polar,1.0
44,0.15,BCH,0.0
44,0.15,Convolutional,0.22
44,0.15,LDPC,1.0
44,0.15,Polar,1.0
44,0.2,BCH,0.0
44,0.2,Convolutional,0.0
44,0.2,LDPC,1.0
44,0.2,Polar,1.0
45,0.0,BCH,0.82
45,0.0,Convolutional,1.0
45,0.0,LDPC,1.0
45,0.0,Polar,1.0
45,0.01,BCH,0.86
45,0.01,Convolutional,1.0
45,0.01,LDPC,1.0
45,0.01,Polar,1.0
45,0.05,BCH,0.9
45,0.05,Convolutional,0.98
45,0.05,LDPC,1.0
45,0.05,Polar,1.0
45,0.1,BCH,0.62
45,0.1,Convolutional,1.0
45,0.1,LDPC,1.0
45,0.1,Polar,1.0
45,0.15,BCH,0.0
45,0.15,Convolutional,0.4
45,0.15,LDPC,1.0
45,0.15,Polar,1.0
45,0.2,BCH,0.0
45,0.2,Convolutional,0.0
45,0.2,LDPC,1.0
45,0.2,Polar,0.9
