seed,q,M,known_acceptance_rate,known_no_ecc_rate,known_proxy_rejection_rate,closed_macro_f1,known_type_macro_f1,known_type_macro_f1_change_from_closed,no_ecc_specificity,HEDGES_unknown_recall,DNA_Aeon_unknown_recall,combined_unknown_recall,unknown_direct_known_rate,unknown_misclassified_as_BCH_rate,AUROC,AUPR,FPR_at_95_TPR
43,1,20,0.9,0.015,0.085,0.8068017174839984,0.7344243726597294,-0.07237734482426905,1.0,0.94,0.84,0.89,0.11,0.1,0.97315,0.9486769481809493,0.115
43,5,20,0.945,0.0,0.055,0.8231218944062881,0.7834540694541745,-0.03966782495211363,1.0,0.98,0.8,0.89,0.11,0.11,0.98365,0.9659851866114465,0.065
43,10,20,0.955,0.0,0.045,0.8335943157329806,0.8072081196114809,-0.026386196121499728,1.0,0.98,0.78,0.88,0.12,0.12,0.9879,0.976065664964913,0.065
43,20,20,0.955,0.0,0.045,0.8459959983993597,0.8284968299507971,-0.017499168448562585,1.0,0.98,0.76,0.87,0.13,0.12,0.98725,0.9776161521880575,0.085
43,50,20,0.98,0.0,0.02,0.8335943157329806,0.826841068821895,-0.006753246911085586,1.0,0.98,0.74,0.86,0.14,0.11,0.9869,0.9774507034615695,0.08
44,1,20,0.905,0.015,0.08,0.562234579816055,0.5052664657274751,-0.056968114088579824,1.0,0.98,0.94,0.96,0.04,0.04,0.9765,0.9405997703651727,0.08
44,5,20,0.97,0.0,0.03,0.5518682310829868,0.5415648446249419,-0.01030338645804485,1.0,0.98,0.88,0.93,0.07,0.07,0.99365,0.9860659471276402,0.03
44,10,20,0.97,0.0,0.03,0.5257275971214201,0.5058847020618285,-0.019842895059591692,1.0,1.0,0.9,0.95,0.05,0.04,0.99605,0.9921805620288666,0.02
44,20,20,0.965,0.0,0.035,0.5335347491681723,0.5015433636157403,-0.03199138555243208,1.0,1.0,0.88,0.94,0.06,0.06,0.9975,0.9951570960663108,0.035
44,50,20,0.97,0.0,0.03,0.5400556875594023,0.5148945352154584,-0.025161152343943893,1.0,1.0,0.88,0.94,0.06,0.05,0.9969,0.9940715467829258,0.035
45,1,20,0.915,0.0,0.085,0.6638488003705384,0.6225272860860591,-0.04132151428447928,1.0,0.94,0.82,0.88,0.12,0.08,0.9597,0.9113502401004979,0.23
45,5,20,0.975,0.0,0.025,0.6317047519231058,0.6216070970463902,-0.010097654876715656,1.0,0.96,0.76,0.86,0.14,0.13,0.982,0.9673624965237261,0.135
45,10,20,0.975,0.0,0.025,0.6522470471834673,0.6363387338067995,-0.01590831337666776,1.0,1.0,0.8,0.9,0.1,0.08,0.98645,0.9775500501691202,0.085
45,20,20,0.98,0.0,0.02,0.6312157438945657,0.6252893080173038,-0.0059264358772619374,1.0,1.0,0.8,0.9,0.1,0.08,0.98825,0.9815488116762352,0.075
45,50,20,0.97,0.0,0.03,0.635689282469373,0.6141966905542459,-0.02149259191512709,1.0,1.0,0.8,0.9,0.1,0.09,0.98725,0.9799069905507054,0.095
