seed,component,method,metric,value
46,closed_set,closed_set,archive_macro_f1,0.7251689608477196
46,presence,presence,known_acceptance_rate,0.9975
46,detector,energy_only,known_acceptance_rate,0.975
46,detector,energy_only,known_rejection_rate,0.025
46,detector,energy_only,HEDGES_unknown_recall,0.05
46,detector,energy_only,DNA_Aeon_unknown_recall,0.07
46,detector,energy_only,combined_unknown_recall,0.06
46,detector,energy_only,unknown_forced_known_rate,0.94
46,detector,energy_only,unknown_misclassified_as_BCH_rate,0.925
46,detector,energy_only,known_type_macro_f1,0.7147268357349945
46,detector,energy_only,known_type_macro_f1_change_from_closed,-0.010442125112725131
46,detector,energy_only,AUROC,0.8875625
46,detector,energy_only,AUPR,0.6835276115068745
46,detector,energy_only,FPR_at_95_TPR,0.26
46,detector,proxy_only,known_acceptance_rate,0.9825
46,detector,proxy_only,known_rejection_rate,0.0175
46,detector,proxy_only,HEDGES_unknown_recall,1.0
46,detector,proxy_only,DNA_Aeon_unknown_recall,0.8
46,detector,proxy_only,combined_unknown_recall,0.9
46,detector,proxy_only,unknown_forced_known_rate,0.1
46,detector,proxy_only,unknown_misclassified_as_BCH_rate,0.085
46,detector,proxy_only,known_type_macro_f1,0.7089023349252067
46,detector,proxy_only,known_type_macro_f1_change_from_closed,-0.016266625922512934
46,detector,proxy_only,AUROC,0.9888875
46,detector,proxy_only,AUPR,0.9810826998449396
46,detector,proxy_only,FPR_at_95_TPR,0.0825
46,detector,three_state,known_acceptance_rate,0.9675
46,detector,three_state,known_rejection_rate,0.0325
46,detector,three_state,HEDGES_unknown_recall,0.05
46,detector,three_state,DNA_Aeon_unknown_recall,0.07
46,detector,three_state,combined_unknown_recall,0.06
46,detector,three_state,unknown_forced_known_rate,0.1
46,detector,three_state,unknown_misclassified_as_BCH_rate,0.085
46,detector,three_state,known_type_macro_f1,0.7073267016225316
46,detector,three_state,known_type_macro_f1_change_from_closed,-0.017842259225188006
46,detector,three_state,AUROC,0.9888875
46,detector,three_state,AUPR,0.9810826998449396
46,detector,three_state,FPR_at_95_TPR,0.0825
46,detector,three_state,known_ecc_output_rate,0.9675
46,detector,three_state,uncertain_ecc_output_rate,0.295
46,detector,three_state,unknown_ecc_output_rate,0.025
